layer,best_test_model,best_test_val_auc,best_test_human_test_auc,best_test_GCG,best_test_PAIR,best_test_PAP,best_test_GPTFuzz,best_test_PEZ,best_test_WJB,best_transfer_model,best_transfer_val_auc,best_transfer_human_test_auc,best_transfer_GCG,best_transfer_PAIR,best_transfer_PAP,best_transfer_GPTFuzz,best_transfer_PEZ,best_transfer_WJB
10,gb_300_lr0.03_d4,0.918860610282674,0.6963606780953203,0.5503948635634028,0.5576714721586574,0.5465619982089921,0.6403168439854003,0.5549960784313724,,linsvm_C0.003_raw,0.905259020356333,0.6358657111893357,0.6445939004815409,0.6763292143401983,0.5387504117259551,0.708353394941886,0.6922345315904139,
11,gb_200_lr0.1_d3,0.922412197606712,0.6645026800276426,0.5611781701444623,0.6081528604118993,0.5476757555171278,0.5806259221868447,0.6364355119825709,,linsvm_C0.003_raw,0.9116438306932275,0.6450665119601977,0.6813996789727126,0.7033139588100685,0.5246129518692357,0.6620838186948306,0.7200131808278867,
12,gb_300_lr0.03_d4,0.9448845188808904,0.7507478892222855,0.6193804173354736,0.6778247902364606,0.5490304625741107,0.5992529315834434,0.7274302832244008,,logreg_l1_C0.1_raw,0.922119521278287,0.7297763541992667,0.7091268057784912,0.7260793287566741,0.5817311017786561,0.665178742460718,0.7462023965141613,
13,histgb_200_lr0.06_leaf31,0.9511724012703786,0.7897270710830722,0.7061573033707866,0.7415058733790998,0.5950150537302372,0.6733773394424167,0.7896352396514161,,logreg_l2_C0.03_bal,0.9351428034015511,0.7401065577552203,0.735258426966292,0.7547041952707856,0.6073225203804349,0.6929906034014134,0.7901703703703704,
14,histgb_200_lr0.04_leaf15,0.952662931067701,0.8302435023080013,0.7036565008025683,0.734235163996949,0.5593191339344532,0.6125187025963604,0.7860168845315905,,logreg_en_C0.1_l1r0.3,0.9424604815831436,0.7904778128098279,0.7555248796147673,0.7629533943554538,0.5574171530179514,0.708818565400844,0.8199099673202614,
15,logreg_l1_C0.03_bal,0.9298729015946076,0.8473496715510832,0.7560963081861958,0.7581434019832188,0.5300733386857707,0.588413968056742,0.8383064270152505,,linsvm_C1.0_bal,0.9612567783346725,0.7947757330584736,0.8180642054574639,0.7840784134248666,0.6341262403244401,0.6717382413087933,0.8235035947712419,
16,histgb_200_lr0.06_leaf31,0.9700145227442113,0.8651155075776455,0.6967287319422152,0.7307670480549199,0.5945708528903162,0.6071673008723564,0.782411111111111,0.7162988467792369,ensemble_linear_auc_top,0.9673946944380216,0.8588356528012743,0.8311942215088283,0.7981430968726163,0.6398937747035573,0.6876379073800833,0.8449910675381264,0.7298939837398373
17,histgb_300_lr0.03_leaf31,0.9722218442777539,0.8710232944296896,0.7107512038523275,0.7361211289092298,0.5627376430747695,0.6283885998291527,0.7916761437908497,,logreg_en_C0.03_l1r0.3,0.9523500162588099,0.8388004572417578,0.7885971107544143,0.7975165522501907,0.5721640702198617,0.6706758820636277,0.8295045751633987,
18,extratrees_500_3,0.9741655333496024,0.8766142167903768,0.68707544141252,0.7450593440122043,0.6311040688817523,0.685770495198157,0.8147316993464051,,logreg_l1_C0.3_raw,0.9634053145400696,0.8575573278424864,0.7851942215088283,0.7956257818459193,0.5713594676383399,0.6322036706272165,0.8307285403050109,
19,mlp_256x128_a0.0003,0.9687530153701828,0.8790891534800811,0.7063723916532907,0.7464324942791762,0.6400724509016799,0.5951730475524838,0.7824574074074074,,logreg_l1_C0.3_raw,0.9637568681645464,0.8504425296228166,0.786147672552167,0.7931252479023647,0.565665863801054,0.6686298568507156,0.8329013071895425,
